VGNKennung;VAGKennung;Haltestellenname;Ort;longitude;latitude;GlobalID;Betriebszweig;Dataprovider
1311;ERLS;Erlenstegen;Nürnberg;110812066;492820085;de:9564:1311:4:11;T;VAG
1311;ERLS;Erlenstegen;Nürnberg;110813516;492821054;de:9564:1311:3:1;B;VAG
1311;ERLS;Erlenstegen;Nürnberg;110813516;492821054;de:9564:1311:3:2;B;VAG
1311;ERLS;Erlenstegen;Nürnberg;110813557;492820518;de:9564:1311:3:3;B;VAG
1313;J-SPER;Johann-Sperl-Straße;Nürnberg;110337028;492930529;de:9564:1313:0:1;B;VAG
1313;J-SPER;Johann-Sperl-Straße;Nürnberg;110328427;492931875;de:9564:1313:0:2;B;VAG
1314;HOEFOS;Höfles Ost;Nürnberg;110156784;492925213;de:9564:1314:0:1;B;VAG
1314;HOEFOS;Höfles Ost;Nürnberg;110157594;492925270;de:9564:1314:0:2;B;VAG
1315;HOEFWE;Höfles West;Nürnberg;110148183;492919838;de:9564:1315:0:1;B;VAG
1315;HOEFWE;Höfles West;Nürnberg;110148712;492919950;de:9564:1315:0:2;B;VAG
1316;FORCHH;Forchheimer Straße;Nürnberg;110311988;492821288;de:9564:1316:0:1;B;VAG
1317;WKLINK;Waldemar-Klink-Str.;Nürnberg;110323688;492822944;de:9564:1317:0:1;B;VAG
1317;WKLINK;Waldemar-Klink-Str.;Nürnberg;110327144;492822980;de:9564:1317:0:2;B;VAG
1318;KLREUW;Kleinreuther Weg;Nürnberg;110418989;492825572;de:9564:1318:0:1;B;VAG
1318;KLREUW;Kleinreuther Weg;Nürnberg;110416479;492826108;de:9564:1318:0:2;B;VAG
1320;ZI;Ziegelstein;Nürnberg;110618360;492908354;de:9564:1320:11:1;U;VAG
1320;ZI;Ziegelstein;Nürnberg;110618360;492908354;de:9564:1320:11:2;U;VAG
1321;SYLTST;Sylter Straße;Nürnberg;110358521;492848957;de:9564:1321:0:1;B;VAG
1321;SYLTST;Sylter Straße;Nürnberg;110359389;492848640;de:9564:1321:0:2;B;VAG
1322;LOHEST;Lohestraße;Nürnberg;110422004;492904891;de:9564:1322:0:1;B;VAG
1322;LOHEST;Lohestraße;Nürnberg;110422004;492904372;de:9564:1322:0:2;B;VAG
1323;ZIEG-W;Ziegelstein Wende;Nürnberg;110619371;492907616;de:9564:1323:0:1;B;VAG
1324;HH;Herrnhütte;Nürnberg;110637440;492842601;de:9564:1324:11:1;U;VAG
1324;HH;Herrnhütte;Nürnberg;110637440;492842601;de:9564:1324:11:2;U;VAG
1324;HERRNH;Herrnhütte;Nürnberg;110635676;492842250;de:9564:1324:3:A;B;VAG
1324;HERRNH;Herrnhütte;Nürnberg;110639160;492845300;de:9564:1324:3:B;B;VAG
1326;LEIPLA;Leipziger Platz;Nürnberg;110613518;492818527;de:9564:1326:0:1;B;VAG
1327;MARI-B;Marienbuck;Nürnberg;110547470;492827426;de:9564:1327:0:1;B;VAG
1327;MARI-B;Marienbuck;Nürnberg;110544170;492827742;de:9564:1327:0:2;B;VAG
1328;MERIAN;Merianstraße;Nürnberg;110556293;492816934;de:9564:1328:0:1;B;VAG
1328;MERIAN;Merianstraße;Nürnberg;110556163;492817016;de:9564:1328:0:2;B;VAG
1329;JO-PRI;Johann-Priem-Straße;Nürnberg;110603606;492828140;de:9564:1329:0:1;B;VAG
1329;JO-PRI;Johann-Priem-Straße;Nürnberg;110608114;492828895;de:9564:1329:0:2;B;VAG
1330;ZIEG-N;Ziegelstein Nord;Nürnberg;110618132;492909105;de:9564:1330:0:6;B;VAG
1330;ZIEG-N;Ziegelstein Nord;Nürnberg;110617376;492908968;de:9564:1330:0:7;B;VAG
1331;ZIEG-S;Ziegelstein Süd;Nürnberg;110618448;492903708;de:9564:1331:0:8;B;VAG
1331;ZIEG-S;Ziegelstein Süd;Nürnberg;110617723;492902514;de:9564:1331:0:9;B;VAG
1331;ZIEG-S;Ziegelstein Süd;Nürnberg;110619203;492903145;de:9564:1331:0:10;B;VAG
1331;ZIEG-S;Ziegelstein Süd;Nürnberg;110619138;492903585;de:9564:1331:0:11;B;VAG
1332;LOHM;Loher Moos;Nürnberg;110620202;492851335;de:9564:1332:0:1;B;VAG
1332;LOHM;Loher Moos;Nürnberg;110620724;492848424;de:9564:1332:0:2;B;VAG
1333;FLATAU;Flataustraße;Nürnberg;110620658;492840225;de:9564:1333:0:1;B;VAG
